,imagenet_class,original_score,perturbated_score
392,"rock beauty, Holocanthus tricolor",9.543461e-09,4.7627345e-06
393,anemone fish,7.0061273e-10,2.4171825e-07
394,sturgeon,2.3989686e-09,2.4637572e-09
395,"gar, garfish, garpike, billfish, Lepisosteus osseus",4.852739e-08,5.805641e-07
396,lionfish,2.7881437e-09,3.3148546e-09
397,"puffer, pufferfish, blowfish, globefish",2.1250491e-08,5.0458954e-07
398,abacus,6.1573665e-08,9.955334e-10
399,abaya,7.104364e-09,1.6760622e-07
400,"academic gown, academic robe, judge's robe",2.5127658e-08,3.787151e-08
401,"accordion, piano accordion, squeeze box",2.3619572e-08,4.371054e-09
402,acoustic guitar,1.2156529e-06,6.7723596e-07
403,"aircraft carrier, carrier, flattop, attack aircraft carrier",3.8171235e-09,7.3880972e-09
404,airliner,1.7274837e-09,2.7606369e-08
405,"airship, dirigible",1.6119811e-08,7.741438e-06
406,altar,8.5305764e-08,2.610256e-08
407,ambulance,7.3481304e-10,2.6485805e-09
408,"amphibian, amphibious vehicle",1.8416382e-07,7.7051226e-07
409,analog clock,5.2619475e-07,3.5894467e-07
410,"apiary, bee house",3.2705796e-10,1.5426528e-10
411,apron,3.395767e-08,1.2823654e-06
412,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",4.5458114e-06,3.1049483e-06
413,"assault rifle, assault gun",1.6275884e-09,3.7988638e-08
414,"backpack, back pack, knapsack, packsack, rucksack, haversack",9.2249934e-08,6.113977e-07
415,"bakery, bakeshop, bakehouse",2.1361227e-08,3.9598245e-09
416,"balance beam, beam",7.779381e-08,1.0101085e-08
417,balloon,4.0063594e-07,1.4350942e-06
418,"ballpoint, ballpoint pen, ballpen, Biro",3.2377443e-07,9.373686e-07
419,Band Aid,3.9800182e-07,7.942544e-08
420,banjo,3.3687304e-08,2.0834603e-08
421,"bannister, banister, balustrade, balusters, handrail",6.95729e-08,4.34116e-09
422,barbell,1.5471094e-06,2.359974e-08
423,barber chair,1.1503929e-08,2.416233e-09
